learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
520000.0,7.956051,1.9090083497992408E-6,520000.0,92.99307692307693,85.6123904706714,85.61513498148396,83.35852968983362,520000.0,1557296.0,606.0,374.0,374.0,7.0,0.0,0.0,1.0
530000.0,8.1276521,1.979200948037E-6,530000.0,93.04,85.70934344796754,85.7131791352306,83.4717113015893,530000.0,1581152.0,618.0,383.0,383.0,7.0,0.0,0.0,1.0
540000.0,8.3148533,2.0566084466847697E-6,540000.0,93.08722222222222,85.80627209209985,85.80997091973467,83.58132804356144,540000.0,1598368.0,624.0,386.0,386.0,7.0,0.0,0.0,1.0
550000.0,8.4864544,2.1292583043749138E-6,550000.0,93.12127272727272,85.8777694073307,85.88147047957399,83.6682451770536,550000.0,1636504.0,641.0,396.0,396.0,7.0,0.0,0.0,1.0
560000.0,8.6736556,2.2096746051733697E-6,560000.0,93.16107142857143,85.96022131405176,85.96397353905921,83.76494826131744,560000.0,1660496.0,657.0,407.0,407.0,7.0,0.0,0.0,1.0
570000.0,8.8608568,2.29180916988353E-6,570000.0,93.2059649122807,86.05277961383389,86.05724572457247,83.871760379488,570000.0,1695976.0,661.0,409.0,409.0,7.0,0.0,0.0,1.0
580000.0,9.0324579,2.367184777869533E-6,580000.0,93.25293103448276,86.14963567713693,86.15667615897553,83.98525102718983,580000.0,1697904.0,673.0,418.0,418.0,7.0,0.0,0.0,1.0
590000.0,9.2196591,2.450690466814985E-6,590000.0,93.2964406779661,86.23884272865406,86.24858317049934,84.08762648106051,590000.0,1724288.0,680.0,423.0,423.0,7.0,0.0,0.0,1.0
600000.0,9.3912602,2.5287104965212446E-6,600000.0,93.33283333333333,86.31532998477745,86.3253969610474,84.17978327928498,600000.0,1757472.0,687.0,428.0,428.0,7.0,0.0,0.0,1.0
610000.0,9.5784614,2.614746120831619E-6,610000.0,93.3683606557377,86.38876180688905,86.39727763972441,84.26516577723149,610000.0,1776528.0,689.0,429.0,429.0,7.0,0.0,0.0,1.0
620000.0,9.7656626,2.7012075336513423E-6,620000.0,93.4058064516129,86.4650879995193,86.47215117414078,84.35164027603946,620000.0,1785320.0,698.0,435.0,435.0,7.0,0.0,0.0,1.0
630000.0,9.9528638,2.7883008491632843E-6,630000.0,93.44285714285714,86.54172606671044,86.54791754860139,84.44161557118967,630000.0,1798368.0,702.0,437.0,437.0,7.0,0.0,0.0,1.0
640000.0,10.140065,2.8766293000417457E-6,640000.0,93.4771875,86.6121376546863,86.62111534504805,84.52241036041214,640000.0,1823872.0,717.0,446.0,446.0,7.0,0.0,0.0,1.0
650000.0,10.3272662,2.9661173369151857E-6,650000.0,93.50923076923077,86.67910716804914,86.68761812806265,84.60303268069266,650000.0,1847816.0,721.0,448.0,448.0,7.0,0.0,0.0,1.0
660000.0,10.5144674,3.0565762800710902E-6,660000.0,93.54242424242423,86.74799107935034,86.75385542992473,84.68416021618978,660000.0,1867864.0,734.0,456.0,456.0,7.0,0.0,0.0,1.0
670000.0,10.7016686,3.1487120318425205E-6,670000.0,93.57388059701492,86.81211322835603,86.81744977128405,84.75610835537333,670000.0,1902488.0,748.0,466.0,466.0,8.0,0.0,0.0,1.0
680000.0,10.9044699,3.2508971737571482E-6,680000.0,93.60838235294118,86.88317708337948,86.88768414351958,84.83797709457644,680000.0,1947688.0,758.0,474.0,474.0,8.0,0.0,0.0,1.0
690000.0,11.0916711,3.345827864842904E-6,690000.0,93.64347826086956,86.95532316501374,86.95974050299841,84.92151348675388,690000.0,1960200.0,776.0,486.0,486.0,8.0,0.0,0.0,1.0
700000.0,11.2944724,3.450956494216498E-6,700000.0,93.67414285714287,87.01865030813023,87.02483334554246,84.99584921643373,700000.0,2003792.0,792.0,497.0,497.0,8.0,0.0,0.0,1.0
710000.0,11.4972737,3.5580007198773748E-6,710000.0,93.70943661971832,87.09008785870158,87.09654120393377,85.07551961505047,710000.0,2040304.0,801.0,503.0,503.0,8.0,0.0,0.0,1.0
720000.0,11.700075,3.6680123569648724E-6,720000.0,93.73694444444445,87.1465119468855,87.1542802448703,85.14054107490033,720000.0,2096864.0,818.0,516.0,516.0,8.0,0.0,0.0,1.0
730000.0,11.9028763,3.7787904004547754E-6,730000.0,93.76547945205479,87.2050721058191,87.21080865389209,85.20767178140427,730000.0,2111472.0,824.0,519.0,519.0,8.0,0.0,0.0,1.0
740000.0,12.1056776,3.891051729939258E-6,740000.0,93.79364864864866,87.26251706535882,87.26990506548404,85.27296339645028,740000.0,2139744.0,835.0,526.0,526.0,8.0,0.0,0.0,1.0
750000.0,12.324079,4.014261002797428E-6,750000.0,93.81493333333333,87.30616665481476,87.31316954701221,85.32322567581248,750000.0,2180672.0,864.0,545.0,545.0,8.0,0.0,0.0,1.0
760000.0,12.5424804,4.141315932383348E-6,760000.0,93.83907894736842,87.35566749197885,87.36395260031684,85.38028494440681,760000.0,2248736.0,873.0,551.0,551.0,8.0,0.0,0.0,1.0
770000.0,12.7140815,4.242009587645118E-6,770000.0,93.862987012987,87.40510516626271,87.41447408721312,85.43831428958818,770000.0,2268216.0,884.0,558.0,558.0,8.0,0.0,0.0,1.0
780000.0,12.9324829,4.371880959058802E-6,780000.0,93.89205128205128,87.46527383291283,87.47186283790892,85.50888623249901,780000.0,2298584.0,897.0,566.0,566.0,8.0,0.0,0.0,1.0
790000.0,13.1508843,4.503098852732944E-6,790000.0,93.9218987341772,87.52615219698528,87.53093440737075,85.57744871294265,790000.0,2322416.0,911.0,576.0,576.0,8.0,0.0,0.0,1.0
800000.0,13.3692857,4.6369889987077984E-6,800000.0,93.9505,87.58491364773072,87.5883187193369,85.64513258586938,800000.0,2369712.0,924.0,584.0,584.0,8.0,0.0,0.0,1.0
810000.0,13.5876871,4.773451955930227E-6,810000.0,93.97456790123456,87.63466178198071,87.6388245156813,85.70260983176266,810000.0,2415248.0,940.0,595.0,595.0,8.0,0.0,0.0,1.0
820000.0,13.7904884,4.901688200026958E-6,820000.0,94.0,87.68717228729636,87.69076807605704,85.76430080148143,820000.0,2444232.0,954.0,605.0,605.0,8.0,0.0,0.0,1.0
830000.0,14.0244899,5.051563624438106E-6,830000.0,94.03072289156627,87.7503479492123,87.7531497727121,85.83692091316057,830000.0,2475792.0,970.0,616.0,616.0,8.0,0.0,0.0,1.0
840000.0,14.2584914,5.205090117516204E-6,840000.0,94.05142857142857,87.79254577554437,87.79178007222123,85.88434701545242,840000.0,2536104.0,985.0,625.0,625.0,8.0,0.0,0.0,1.0
850000.0,14.4768928,5.349645768444986E-6,850000.0,94.07964705882354,87.85023432532562,87.85111257571478,85.94949714930283,850000.0,2558480.0,987.0,626.0,626.0,8.0,0.0,0.0,1.0
860000.0,14.6796941,5.484885859002257E-6,860000.0,94.10569767441861,87.90386418897673,87.9052865906179,86.01145222490516,860000.0,2577728.0,991.0,628.0,628.0,8.0,0.0,0.0,1.0
870000.0,14.9136956,5.6414972847515935E-6,870000.0,94.13344827586207,87.96132872435703,87.96261356024942,86.07842495458486,870000.0,2587064.0,998.0,633.0,633.0,8.0,0.0,0.0,1.0
880000.0,15.132097,5.789121144174495E-6,880000.0,94.1575,88.0107655812968,88.0118356716324,86.1355380993601,880000.0,2612784.0,1010.0,642.0,642.0,8.0,0.0,0.0,1.0
890000.0,15.3504984,5.9378600994069135E-6,890000.0,94.18426966292135,88.06649104771398,88.06762906371462,86.20200625388202,890000.0,2632520.0,1016.0,645.0,645.0,8.0,0.0,0.0,1.0
900000.0,15.5844999,6.098495013481628E-6,900000.0,94.21133333333333,88.12222394833833,88.12348403333759,86.26614646491275,900000.0,2653528.0,1020.0,647.0,647.0,8.0,0.0,0.0,1.0
910000.0,15.8029013,6.25015120760931E-6,910000.0,94.23494505494506,88.17098190971397,88.1732598717729,86.32388172146723,910000.0,2684152.0,1029.0,653.0,653.0,8.0,0.0,0.0,1.0
920000.0,16.0525029,6.423820745156872E-6,920000.0,94.25804347826087,88.21899278790612,88.22286181827099,86.38112032339231,920000.0,2689544.0,1031.0,654.0,654.0,8.0,0.0,0.0,1.0
930000.0,16.2709043,6.576241731384149E-6,930000.0,94.28129032258065,88.26641796247681,88.2693911041118,86.4349369748971,930000.0,2697688.0,1038.0,659.0,659.0,8.0,0.0,0.0,1.0
940000.0,16.4893057,6.729846970153352E-6,940000.0,94.30478723404255,88.3146679147072,88.3188887725178,86.49061269809226,940000.0,2718648.0,1050.0,668.0,668.0,8.0,0.0,0.0,1.0
950000.0,16.7233072,6.8962158878116565E-6,950000.0,94.3298947368421,88.36713891086906,88.3713499907171,86.55407226942776,950000.0,2748248.0,1052.0,669.0,669.0,8.0,0.0,0.0,1.0
960000.0,16.9729088,7.073791263295752E-6,960000.0,94.35458333333332,88.41761866978229,88.4210188973518,86.61195773809376,960000.0,2750032.0,1057.0,673.0,673.0,8.0,0.0,0.0,1.0
970000.0,17.2069103,7.24172444037762E-6,970000.0,94.37680412371134,88.4631740915747,88.46506847576914,86.66400981892687,970000.0,2774088.0,1066.0,679.0,679.0,8.0,0.0,0.0,1.0
980000.0,17.4565119,7.421923509933883E-6,980000.0,94.39816326530612,88.50711491423566,88.5095098258782,86.71451872861299,980000.0,2790664.0,1079.0,687.0,687.0,9.0,0.0,0.0,1.0
990000.0,17.7061135,7.607384948364563E-6,990000.0,94.42555555555555,88.56289803108432,88.56746885869417,86.77778815997851,990000.0,2872160.0,1116.0,716.0,716.0,9.0,0.0,0.0,1.0
1000000.0,18.1273162,7.925422813142755E-6,1000000.0,94.4465,88.60563760424832,88.61072828993782,86.82634304406717,1000000.0,2918704.0,1124.0,720.0,720.0,9.0,3984.0666666666666,0.0,1.017491898283719
